test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
FBgn0021953	FBgn0021953	Fatp	2L:10510671-10517218	C1	C2	OK	18.1323	61.8101	1.76928	5.00431	5e-05	0.00167794	yes
FBgn0000370	FBgn0000370	crc	2L:21310865-21319527	C1	C2	OK	380.882	1038.26	1.44675	10.0734	5e-05	0.00167794	yes
FBgn0025682	FBgn0025682	scf	3L:1298671-1300389	C1	C2	OK	396.95	1057.02	1.41297	9.76908	5e-05	0.00167794	yes
FBgn0266452	FBgn0266452	CTPsyn	3L:15097913-15113003	C1	C2	OK	44.1277	116.801	1.4043	7.64589	5e-05	0.00167794	yes
FBgn0022893	FBgn0022893	Df31	2L:21626308-21629932	C1	C2	OK	499.684	1281.89	1.35919	9.40675	5e-05	0.00167794	yes
FBgn0033669	FBgn0033669	PI31	2R:11939556-11970115	C1	C2	OK	121.121	310.25	1.35698	8.2107	5e-05	0.00167794	yes
FBgn0266486	FBgn0266486	CG45085	2R:9186669-9192096	C1	C2	OK	45.251	114.849	1.34371	7.16029	5e-05	0.00167794	yes
FBgn0267330	FBgn0267330	KdelR	2L:10426886-10428632	C1	C2	OK	231.04	585.914	1.34255	8.82648	5e-05	0.00167794	yes
FBgn0086904	FBgn0086904	Nacalpha	2R:12757545-12760999	C1	C2	OK	1568.15	3963.55	1.33773	9.23261	5e-05	0.00167794	yes
FBgn0023507	FBgn0023507	CG3835	X:2141488-2144937	C1	C2	OK	75.8625	190.607	1.32914	8.21292	5e-05	0.00167794	yes
FBgn0028479	FBgn0028479	Mtpalpha	2L:9568889-9576769	C1	C2	OK	116.459	290.111	1.31679	8.23538	5e-05	0.00167794	yes
FBgn0263598	FBgn0263598	Vha68-2	2L:12974321-12978607	C1	C2	OK	137.412	341.733	1.31437	8.82759	5e-05	0.00167794	yes
FBgn0265185	FBgn0265185	CG44250	2R:12948347-12952293	C1	C2	OK	191.538	474.34	1.30829	7.23704	5e-05	0.00167794	yes
FBgn0266410	FBgn0266410	CG45050	3R:9340215-9362994	C1	C2	OK	118.699	293.03	1.30374	8.33053	5e-05	0.00167794	yes
FBgn0266490	FBgn0266490	CG45089	X:7893052-7893798	C1	C2	OK	209.199	512.178	1.29177	6.69362	5e-05	0.00167794	yes
FBgn0030362	FBgn0030362	regucalcin	X:12012376-12017961	C1	C2	OK	961.381	2347.94	1.28821	9.0058	5e-05	0.00167794	yes
FBgn0039465	FBgn0039465	Tsp97E	3R:26961063-26964817	C1	C2	OK	23.6127	57.3008	1.27899	6.37726	5e-05	0.00167794	yes
FBgn0000244	FBgn0000244	by	3R:9528237-9533011	C1	C2	OK	14.6246	35.3646	1.27391	6.5294	5e-05	0.00167794	yes
FBgn0039830	FBgn0039830	CG1746	3R:31216144-31219630	C1	C2	OK	567.302	1363.57	1.2652	8.3842	5e-05	0.00167794	yes
FBgn0000412	FBgn0000412	D1	3R:9238082-9240654	C1	C2	OK	153.075	365.949	1.2574	8.18493	5e-05	0.00167794	yes
FBgn0260742	FBgn0260742	CG12213	3R:11963123-11967691	C1	C2	OK	59.7236	142.691	1.25652	6.38551	5e-05	0.00167794	yes
FBgn0027779	FBgn0027779	VhaSFD	2L:16722882-16727826	C1	C2	OK	76.8695	183.622	1.25625	7.90834	5e-05	0.00167794	yes
FBgn0036516	FBgn0036516	CG7656	3L:15585430-15588175	C1	C2	OK	72.8232	172.143	1.24114	7.23692	5e-05	0.00167794	yes
FBgn0262114	FBgn0262114	RanBPM	2R:10429707-10436581	C1	C2	OK	54.3356	128.008	1.23626	8.02311	5e-05	0.00167794	yes
FBgn0014869	FBgn0014869	Pglym78	3R:29148247-29151794	C1	C2	OK	159.623	374.618	1.23075	6.22432	5e-05	0.00167794	yes
FBgn0038111	FBgn0038111	CG12360	3R:13026282-13030659	C1	C2	OK	54.7349	128.163	1.22745	7.12719	5e-05	0.00167794	yes
FBgn0266521	FBgn0266521	stai	2L:6100376-6124653	C1	C2	OK	50.2711	117.391	1.22353	7.16365	5e-05	0.00167794	yes
FBgn0039450	FBgn0039450	CG5484	3R:26717870-26719806	C1	C2	OK	85.0202	197.999	1.21961	7.44099	5e-05	0.00167794	yes
FBgn0052521	FBgn0052521	CG32521	X:21205309-21281171	C1	C2	OK	134.458	312.543	1.2169	7.8016	5e-05	0.00167794	yes
FBgn0021979	FBgn0021979	l(2)k09913	2R:23067195-23071875	C1	C2	OK	105.07	243.564	1.21295	7.61682	5e-05	0.00167794	yes
FBgn0033913	FBgn0033913	CG8468	2R:14219897-14235449	C1	C2	OK	140.832	323.161	1.19828	7.08126	5e-05	0.00167794	yes
FBgn0039229	FBgn0039229	Saf-B	3R:24817463-24822350	C1	C2	OK	52.8598	121.112	1.19611	7.47999	5e-05	0.00167794	yes
FBgn0035964	FBgn0035964	Dhpr	3L:9134559-9137181	C1	C2	OK	58.1727	132.404	1.18654	5.62842	5e-05	0.00167794	yes
FBgn0016081	FBgn0016081	fry	3L:9631833-9679103	C1	C2	OK	41.9582	94.9917	1.17885	8.05482	5e-05	0.00167794	yes
FBgn0003074	FBgn0003074	Pgi	2R:8910899-8914069	C1	C2	OK	91.9255	207.96	1.17777	7.57106	5e-05	0.00167794	yes
FBgn0020235	FBgn0020235	ATPsyn-gamma	3R:29747703-29749163	C1	C2	OK	759.797	1718.54	1.17749	8.20221	5e-05	0.00167794	yes
FBgn0032157	FBgn0032157	Etl1	2L:9908829-9912608	C1	C2	OK	38.6266	87.1183	1.17338	7.16591	5e-05	0.00167794	yes
